0,1,2,3
Under the Custody of the Sheriff,,,
Total Male and Female,"6,620",,
Jail Population,"4,808",,
Community Corrections,"1,812",,
"Jail Population - Behind the Walls
106
7
15
2.2%
0.1%
0.3%
Men - Cermak, Division 5, Division 6,
36
25
Division 6 Annex, Division 08, Div 9, Div
0.7%
0.5%
10, Div 11, Div 16 Boot Camp, 8RTU
Annex, Div 5 Annex
233
Women - Cermak, Division 3 Annex,
4.8%
Division 08
Men+Women - Division 15 - Outside
Counties
Men+Women - Division 15 - Hospital
Men - VRIC In-Camp
4,386
91.2%
Men - Division 6 - SMART (Drug
Treatment Program)
Women -Div 3 Annex -THRIVE (Drug
Treatment Program)",,,
,,,
